Price,Color,Type,Suitable For,MS Office Provided,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Cache,Graphic Processor,Number of Cores,Operating System,Touchscreen,Screen Size,Screen Resolution,Screen Type,Wireless LAN,Bluetooth,Weight,Keyboard Backlight,Warranty Summary,Web Camera,Brightness,Refresh Rate,HDD Capacity,Brand
16125.96,Black,Notebook,"Everyday Use, Performance, Processing & Multitasking, Travel & Business",No,0.0,Intel,Celeron Dual Core,128.0,4.0,DDR4,N4020,2.8,8.0,Intel Integrated UHD,2.0,Windows 11 Home,No,29.46,1049088.0,TN,5.0,5.0,1.4,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,acer
43685.95,Shale Black,Gaming Laptop,"Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business",No,4.0,Intel,Core i5,512.0,8.0,DDR4,11400H,4.5,12.0,NVIDIA GeForce GTX 1650,6.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.1,2.2,4-Zone RGB,1 Year International Travelers Warranty (ITW),864000,250.0,144.0,0.0,acer
17470.35,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,No,0.0,Intel,Celeron Dual Core,256.0,4.0,DDR4,N4020,2.8,4.0,Intel Integrated UHD,2.0,Windows 11 Home,No,35.56,1049088.0,IPS,5.0,4.1,1.6,RGB,1 Year Onsite Warranty,307200,200.0,60.0,0.0,asus
33535.81,Pure Silver,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",Yes,0.0,Intel,Core i5,512.0,8.0,DDR4,1135G7,4.2,8.0,Intel Integrated Iris Xe,2.0,Windows 11 Home,No,39.62,2073600.0,TFT,5.0,5.0,1.7,RGB,1 Year International Travelers Warranty (ITW),864000,250.0,60.0,0.0,acer
73934.72,Shale Black,Gaming Laptop,"Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business",No,4.0,Intel,Core i7,512.0,16.0,DDR4,12500H,4.7,24.0,NVIDIA GeForce RTX 3050 Ti,14.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.1,2.6,4-Zone RGB,1 Year International Travelers Warranty (ITW),864000,250.0,144.0,1024.0,acer
52558.92,Shadow Black,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 5 Hexa Core,512.0,8.0,DDR4,5600H,4.2,16.0,NVIDIA GeForce RTX 3050 Ti,6.0,Windows 10 Home,No,39.62,2073600.0,IPS,6.0,5.0,1.98,RGB,1 Year Onsite Warranty,864000,250.0,144.0,0.0,hp
87371.9,Shadow Black,Laptop,Processing & Multitasking,Yes,4.0,Intel,Core i7,1024.0,16.0,DDR5,12700H,4.7,24.0,NVIDIA GeForce RTX 3050 Ti,14.0,Windows 11 Home,No,40.89,2073600.0,IPS,6.0,5.2,2.32,4-Zone RGB,1 Year Onsite Warranty,864000,300.0,144.0,0.0,hp
24797.27,Platinum Silver,Thin and Light Laptop,Everyday Use,Yes,0.0,Intel,Pentium Quad Core,256.0,8.0,DDR4,N5030,3.1,4.0,Intel Integrated UHD,4.0,Windows 11 Home,No,39.62,1049088.0,IPS,5.0,5.0,1.8,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,dell
78640.09,Jaeger Gray,Gaming Laptop,Gaming,No,4.0,Intel,Core i7,512.0,16.0,DDR5,12700H,4.7,24.0,NVIDIA GeForce RTX 3050 Ti,14.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.2,2.2,Non-Backlit,1 Year Onsite Warranty,864000,250.0,60.0,0.0,asus
157959.1,Off Black,Gaming Laptop,Gaming,Yes,8.0,Intel,Core i9,1024.0,32.0,DDR5,12900H,5.0,24.0,NVIDIA GeForce RTX 3070 Ti,14.0,Windows 11 Home,No,43.94,3686400.0,IPS,6.0,5.2,2.9,Non-Backlit,1 Year Onsite Warranty,864000,300.0,60.0,0.0,asus
154598.12,Off Black,Gaming Laptop,Gaming,Yes,8.0,Intel,Core i9,1024.0,32.0,DDR5,12900H,5.0,24.0,NVIDIA GeForce RTX 3070 Ti,14.0,Windows 11 Home,No,39.62,3686400.0,IPS,6.0,5.2,2.3,Non-Backlit,1 Year Onsite Warranty,864000,300.0,60.0,0.0,asus
69969.45,Mica Silver,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5800H,4.4,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,40.89,2073600.0,IPS,6.0,5.2,2.48,RGB,1 Year Onsite Warranty,864000,300.0,144.0,0.0,hp
58962.93,Shadow Black,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5800H,3.2,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,TN,5.0,5.0,2.25,RGB,1 Year Warranty,864000,250.0,120.0,0.0,lenovo
52696.72,Slate Grey,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i7,512.0,16.0,DDR4,1135G7,2.4,8.0,Intel Integrated Iris Xe Graphics,4.0,Windows 11 Home,No,35.56,2073600.0,IPS,6.0,5.0,1.36,RGB,1 Year Warranty,864000,300.0,60.0,0.0,lenovo
61376.78,Abyss Blue,2 in 1 Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 7 Octa Core,1024.0,16.0,DDR4,5700U,1.8,8.0,AMD Radeon,8.0,Windows 11 Home,Yes,33.78,2073600.0,IPS,6.0,5.0,1.31,RGB,1 Year Warranty,864000,300.0,60.0,0.0,lenovo
43685.95,Black,Gaming Laptop,"Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance",No,4.0,Intel,Core i5,1024.0,8.0,DDR4,10300H,2.5,8.0,NVIDIA GeForce GTX 1650,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.0,2.3,Non-Backlit,1 Year On site Manufacturing warranty,864000,250.0,144.0,0.0,asus
22181.76,Carbon Black,Notebook,Everyday Use,Yes,0.0,Intel,Pentium Silver,256.0,8.0,DDR4,N5030,3.1,4.0,Intel Integrated UHD,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,5.0,1.61,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,dell
20831.32,Carbon Black,Notebook,Everyday Use,Yes,0.0,AMD,Athlon Dual Core,256.0,8.0,DDR4,3050U,3.2,4.0,AMD Radeon,2.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,5.0,1.68,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,dell
100590.62,Platinum Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,LPDDR4X,1135G7,4.2,8.0,Intel Integrated Iris Xe,8.0,Windows 11 Home,No,34.04,2073600.0,WVA,6.0,5.1,1.16,Non-Backlit,1 Year Premium Support Plus,864000,250.0,60.0,0.0,dell
87378.62,Black,2 in 1 Gaming Laptop,"Gaming, Processing & Multitasking",Yes,4.0,AMD,Ryzen 9 Octa Core,1024.0,32.0,LPDDR4X,5900HS,4.5,16.0,NVIDIA GeForce GTX 1650,8.0,Windows 10 Home,Yes,34.04,2304000.0,IPS,6.0,5.1,1.3,Non-Backlit,1 Year Onsite Warranty,864000,300.0,120.0,0.0,asus
32258.64,Hearty Gold,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking",Yes,0.0,Intel,Core i3,256.0,8.0,DDR4,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,2073600.0,TN,5.0,5.0,1.8,Non-Backlit,1 Year Onsite Warranty,864000,400.0,60.0,0.0,asus
69901.55,Obsidian Black,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i7,512.0,16.0,DDR4,11800H,4.4,24.0,NVIDIA GeForce RTX 3050 Ti,8.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.0,2.65,RGB,1 Year Onsite Warranty,864000,300.0,165.0,0.0,dell
46710.83,Grey,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 5 Hexa Core,512.0,8.0,DDR4,5600H,4.4,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.0,2.57,RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
60692.48,Grey,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5800H,4.4,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.0,2.57,RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
27553.27,Jet Black,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,512.0,8.0,DDR4,1125G4,3.7,8.0,Intel Integrated UHD,4.0,Windows 11 Home,No,39.62,2073600.0,TN,5.0,5.0,1.69,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,hp
49735.71,Grey,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 5 Hexa Core,512.0,16.0,DDR4,5600H,4.4,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.0,2.57,RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
33603.03,Indie Black,2 in 1 Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,256.0,8.0,LPDDR4X,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,Yes,35.56,2073600.0,IPS,6.0,5.0,1.5,Non-Backlit,1 Year onsite warranty,864000,250.0,60.0,0.0,asus
28897.66,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,No,0.0,Intel,Core i5,0.0,8.0,DDR4,1035G1,3.6,6.0,Intel Integrated UHD,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,250.0,60.0,1024.0,asus
16804.2,Star Grey,Laptop,Processing & Multitasking,No,0.0,Intel,Celeron Dual Core,128.0,4.0,DDR4,N4500,2.8,4.0,Intel Integrated UHD,2.0,Windows 11 Home,No,29.46,1049088.0,TN,5.0,5.2,1.26,RGB,1 Year Onsite Warranty,864000,220.0,60.0,0.0,asus
20159.13,Star Grey,Laptop,Processing & Multitasking,No,0.0,Intel,Celeron Dual Core,128.0,4.0,DDR4,N4500,2.8,4.0,Intel Integrated UHD,2.0,Windows 11 Home,Yes,29.46,1049088.0,TN,5.0,4.2,1.4,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,asus
43685.95,Hearty Gold,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5700U,4.3,12.0,AMD Radeon,8.0,Windows 11 Home,No,39.62,2073600.0,TN,6.0,5.0,1.8,Non-Backlit,1 Year onsite warranty,864000,600.0,60.0,0.0,asus
43013.76,Indie Black,2 in 1 Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,8.0,LPDDR4X,1135G7,4.2,8.0,Intel Integrated Iris Xe Graphics,4.0,Windows 11 Home,Yes,35.56,2073600.0,IPS,6.0,5.0,1.5,Non-Backlit,1 Year onsite warranty,864000,250.0,60.0,0.0,asus
43685.95,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5700U,4.3,12.0,AMD Radeon,8.0,Windows 11 Home,No,39.62,2073600.0,TN,6.0,5.0,1.8,Non-Backlit,1 Year onsite warranty,864000,600.0,60.0,0.0,asus
18142.54,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,No,0.0,Intel,Celeron Quad Core,256.0,4.0,DDR4,N4020,2.8,4.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,1049088.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,200.0,60.0,0.0,asus
35619.61,Indie Black,2 in 1 Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,512.0,8.0,LPDDR4X,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,Yes,35.56,2073600.0,IPS,6.0,5.0,1.5,Non-Backlit,1 Year onsite warranty,864000,250.0,60.0,0.0,asus
26208.88,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,512.0,8.0,DDR4,1005G1,3.4,4.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,250.0,60.0,0.0,asus
23520.1,Slate Grey,Thin and Light Laptop,Processing & Multitasking,No,0.0,Intel,Core i3,0.0,8.0,DDR4,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,1049088.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,200.0,60.0,1024.0,asus
27553.27,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,256.0,8.0,DDR4,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,200.0,60.0,1024.0,asus
