Aspect Ratio,Circularity,Convexity,Solidity,Rectangularity,Herbal
0.48189415,0.49777372,1.011299435,0.982623282,1.35928301,Niyog-Niyogan
0.497076023,0.476373661,1.041176471,0.984435081,1.359840954,Niyog-Niyogan
0.456824513,0.443372407,1.061302682,0.981465117,1.359251991,Niyog-Niyogan
0.470031546,0.392401476,1.109913793,0.953570709,1.42577276,Niyog-Niyogan
0.459876543,0.456335633,1.038135593,0.97768558,1.384218374,Niyog-Niyogan
0.455319149,0.442522053,1.062316716,0.963825738,1.360347323,Niyog-Niyogan
0.525222552,0.440868849,1.078125,0.969109081,1.394971936,Niyog-Niyogan
0.482695811,0.469424109,1.04864532,0.984541985,1.342868219,Niyog-Niyogan
0.45855615,0.429372671,1.055504587,0.976577219,1.418201517,Niyog-Niyogan
1.017291066,0.126757135,1.815225161,0.737826335,1.882977783,Ampalaya
1.072254335,0.122094281,1.762303665,0.747613931,2.073069205,Ampalaya
0.995384615,0.153440728,1.685042406,0.749748518,1.802707383,Ampalaya
1.076495132,0.116622254,1.86423064,0.716078245,1.939065565,Ampalaya
1.080924855,0.108960277,1.93125,0.689573795,1.929689306,Ampalaya
0.95,0.098463116,2.008205128,0.693911376,1.97658064,Ampalaya
1.078556263,0.085587708,2.064928425,0.651035655,2.153452916,Ampalaya
1.003891051,0.0945774,2.007292173,0.630987799,2.067024129,Ampalaya
0.92173913,0.096233262,2.009062075,0.66250253,2.024123433,Ampalaya
0.935135135,0.08826195,2.021435228,0.632116348,2.179302883,Ampalaya
1.056234719,0.087492215,2.066071429,0.68362931,2.106387544,Ampalaya
1.078947368,0.091282647,2.058146229,0.708689247,2.030590592,Ampalaya
0.976359338,0.103298107,1.994011976,0.679283106,1.916546905,Ampalaya
1.004555809,0.092375857,1.980648833,0.616842893,2.174683231,Ampalaya
1.032745592,0.091908116,2.071960298,0.673762965,1.994974874,Ampalaya
1.015350877,0.090260425,2.033824332,0.653159637,2.114981217,Ampalaya
1.014669927,0.090330623,2.001215067,0.601268897,2.176201344,Ampalaya
1.078556263,0.075262677,2.20020429,0.639056418,2.15260047,Ampalaya
1.055309735,0.118521589,1.868137783,0.691350138,1.897404758,Ampalaya
0.988738739,0.08215503,2.147643384,0.647782927,2.084395586,Ampalaya
0.915632754,0.094834595,1.941520468,0.621270239,2.207055716,Ampalaya
0.959064327,0.140474773,1.707554226,0.738406945,1.925305506,Ampalaya
0.965517241,0.131946807,1.828947368,0.73451189,1.778913738,Ampalaya
1.097484277,0.10478679,2.009009009,0.697166408,1.858590257,Ampalaya
0.960960961,0.079751165,2.124042879,0.626086511,2.181996888,Ampalaya
1.062686567,0.073970446,2.201881331,0.607157974,2.187975856,Ampalaya
1.101265823,0.089133093,1.961480363,0.587769846,2.298758309,Ampalaya
1.033333333,0.078622304,2.199589884,0.6341578,2.066985646,Ampalaya
1.027027027,0.093943938,2.03,0.642981708,2.028391713,Ampalaya
1.005847953,0.098049662,2.049635036,0.674834917,1.912291538,Ampalaya
0.993589744,0.121948444,1.775987107,0.668804268,2.051760713,Ampalaya
1.034602076,0.121591734,1.792838875,0.684556565,2.019278854,Ampalaya
1.099378882,0.098186923,1.916420118,0.640034165,2.173104053,Ampalaya
1.144366197,0.086061763,2.171617162,0.684830463,1.945492486,Ampalaya
1.113333333,0.097642157,2.034700315,0.682038163,1.937317531,Ampalaya
1.032608696,0.088193437,2.025939177,0.612080103,2.18469657,Ampalaya
1.13304721,0.089005351,2.134072581,0.669161203,1.937813061,Ampalaya
1.263736264,0.108188904,1.936893204,0.672039716,1.90880073,Ampalaya
0.975124378,0.079852312,2.136708861,0.630014962,2.175853308,Ampalaya
1.229508197,0.088510559,2.052825553,0.634726481,2.093608583,Ampalaya
0.384359401,0.503567511,1.024669073,0.98205217,1.194563712,Akapulko
0.373684211,0.538571204,1.007682458,0.990078699,1.143435675,Akapulko
0.451376147,0.529461771,1.027249683,0.983817936,1.210990778,Akapulko
0.452865065,0.535564084,1.03380102,0.984726179,1.183574879,Akapulko
0.435294118,0.519332922,1.033515732,0.987948401,1.19993641,Akapulko
0.436758893,0.495964684,1.047520661,0.987155924,1.22473879,Akapulko
0.436507937,0.524191852,1.021438451,0.989248715,1.218461538,Akapulko
0.43220339,0.521672008,1.017037037,0.989105157,1.230391781,Akapulko
0.412147505,0.526804451,1.018489985,0.981184128,1.195506784,Akapulko
0.420168067,0.497849004,1.028888889,0.985291843,1.245502715,Akapulko
0.45785877,0.542025569,1.019592476,0.986461106,1.208637528,Akapulko
0.465277778,0.558042693,1.015847861,0.985684381,1.189723916,Akapulko
0.466970387,0.539368584,1.017107309,0.987374281,1.225538927,Akapulko
0.450471698,0.561512909,1.021207178,0.989503426,1.156220553,Akapulko
0.465686275,0.531542381,1.038590604,0.977960477,1.195761156,Akapulko
0.41607565,0.533974548,1.005862647,0.989729843,1.214664469,Akapulko
0.420537897,0.557650588,1.003454231,0.990527673,1.174051636,Akapulko
0.429268293,0.523863418,1.035958904,0.980182755,1.182272467,Akapulko
0.47,0.554984785,1.013651877,0.985408037,1.206462274,Akapulko
0.494871795,0.563704714,1.01979346,0.987644836,1.194932609,Akapulko
0.43622449,0.540202512,1.029411765,0.985580724,1.168884161,Akapulko
0.451371571,0.547339643,1.018965517,0.987841304,1.192726735,Akapulko
0.495821727,0.554884188,1.027102804,0.987300529,1.198192455,Akapulko
0.477088949,0.556681002,1.025641026,0.989353179,1.181720024,Akapulko
0.442970822,0.546540097,1.010128913,0.990143776,1.202907965,Akapulko
0.481268012,0.567759447,1.008789063,0.988680174,1.201962167,Akapulko
0.469444444,0.530461202,1.033206831,0.979801538,1.215317313,Akapulko
0.459459459,0.547940305,1.009297521,0.985835761,1.224117633,Akapulko
0.510971787,0.569137258,1.020833333,0.989377673,1.195415776,Akapulko
0.402366864,0.529431465,1.019027484,0.988661902,1.174090723,Akapulko
0.492581602,0.574293961,1.005988024,0.987222553,1.204737806,Akapulko
0.513353116,0.57673237,1.011811024,0.988303617,1.20205769,Akapulko
0.5,0.565556271,1.013347023,0.988835762,1.212006478,Akapulko
0.47266881,0.564937344,1.00877193,0.988311992,1.201466453,Akapulko
